Year,Month,Usage (kWh),Cost (RM)
2014,Jan,261,63.98
2014,Feb,288,70.56
2014,Mac,348,101.77
2014,Apr,263,64.64
2014,May,350,102.8
2014,Jun,324,89.38
2014,Jul,346,100.74
2014,Aug,268,66.31
2014,Sep,292,74.33
2014,Oct,267,65.98
2014,Nov,301,77.52
2014,Dec,337,86.34
2015,Jan,254,61.64
2015,Feb,347,86.9
2015,Mac,276,68.98
2015,Apr,309,81.64
2015,May,301,77.52
2015,Jun,273,67.98
2015,Jul,405,103.84
2015,Aug,238,56.29
2015,Sep,295,75.33
2015,Oct,266,65.64
2015,Nov,321,81.69
2015,Dec,284,71.66
2016,Jan,246,58.96
2016,Feb,399,120.01
2016,Mac,530,188.2
2016,Apr,465,162.14
2016,May,494,177.1
2016,Jun,342,98.67
2016,Jul,305,79.58
2016,Aug,409,125.46
2016,Sep,336,87.8
2016,Oct,378,117.25
2016,Nov,286,72.32
2016,Dec,308,78.16
2017,Jan,427,142.53
2017,Feb,390,123.44
2017,Mac,448,153.37
2017,Apr,441,149.76
2017,May,361,108.48
2017,Jun,393,124.99
2017,Jul,339,91.97
2017,Aug,383,119.83
2017,Sep,399,122.93
2017,Oct,406,131.7
2017,Nov,405,131.18
2017,Dec,327,90.93
2018,Jan,342,98.67
2018,Feb,455,149.2
2018,Mac,426,142.02
2018,Apr,419,138.4
2018,May,490,175.04
2018,Jun,315,78.88
2018,Jul,357,106.41
2018,Aug,412,134.79
2018,Sep,389,115.14
2018,Oct,358,106.93
2018,Nov,368,112.09
2018,Dec,309,81.64
2019,Jan,370,113.12
2019,Feb,444,151.3
2019,Mac,399,130.15
2019,Apr,373,116.5
2019,May,413,137.45
2019,Jun,285,72
2019,Jul,366,112.85
2019,Aug,280,70.3
2019,Sep,348,103.4
2019,Oct,336,97.1
2019,Nov,323,90.3
2019,Dec,312,84.5
2020,Jan,355,107.05
2020,Feb,314,85.55
2020,Mac,350,104.45
2020,Apr,350,96.35
2020,May,350,88.8
2020,Jun,1221,164.4
2020,Jul,368,112.1
2020,Aug,344,99.7
2020,Sep,360,107.96
2020,Oct,336,82.55
2020,Nov,391,107.05
2020,Dec,341,84.8
2021,Jan,322,79.55
2021,Feb,378,111.55
2021,Mac,378,111.55
2021,Apr,361,103
2021,May,357,100.95
2021,Jun,393,119.15
2021,Jul,361,103
2021,Aug,436,122.28
2021,Sep,396,108.6
2021,Oct,444,136.6
2021,Nov,404,124.65
2021,Dec,366,105.5
2022,Jan,359,102
2022,Feb,323,83.85
2022,Mac,384,114.6
2022,Apr,460,152.91
2022,May,300,71
2022,Jun,402,123.65
2022,Jul,,
2022,Aug,,
2022,Sep,,
2022,Oct,,
2022,Nov,,
2022,Dec,,